序位	詞彙	詞頻
1619	建置	80
1620	正確	80
1621	強制	80
1622	森林	80
1623	牠	80
1624	比例	80
1625	冬奧	80
1626	中正	80
1627	新竹市	80
1628	感覺	79
1629	邀	79
1630	情境	79
1631	彈性	79
1632	籲	79
1633	程度	79
1634	因而	79
1635	現行	79
1636	網球	79
1637	新制	79
1638	致贈	79
1639	演練	79
1640	回收	79
1641	狗	79
1642	收錄	79
1643	評審	78
1644	精采	78
1645	回到	78
1646	探究	78
1647	導師	78
1648	醫護	78
1649	屬	78
1650	何靜茹	78
1651	文物	78
1652	出席	78
1653	連結	78
1654	人次	78
1655	代	78
1656	大考	78
1657	酒駕	78
1658	決議	78
1659	十九	78
1660	教育部長	78
1661	子女	78
1662	解除	78
1663	轟	78
1664	專題	77
1665	人文	77
1666	研究所	77
1667	只是	77
1668	從事	77
1669	記錄	77
1670	夢想	77
1671	證實	77
1672	抗議	77
1673	球場	77
1674	學年	77
1675	劇場	77
1676	廁所	77
1677	洪素蓉	77
1678	段	77
1679	對話	77
1680	三年級	77
1681	患者	77
1682	配套	77
1683	籃球	77
1684	並非	77
1685	入圍	77
1686	母親	76
1687	儘管	76
1688	國中生	76
1689	良好	76
1690	紛紛	76
1691	回	76
1692	衝突	76
1693	樹木	76
1694	美術館	76
1695	好玩	76
1696	鄰近	76
1697	農業	76
1698	區	76
1699	彰縣	76
1700	享受	76
1701	發燒	76
1702	獲勝	76
1703	大專校院	76
1704	柯瑞	76
1705	含	76
1706	動手	75
1707	一一	75
1708	一年級	75
1709	力量	75
1710	跟	75
1711	人工	75
1712	創造	75
1713	上午	75
1714	成員	75
1715	深刻	75
1716	象徵	75
1717	其實	75
1718	附上	75
1719	寄到	75
1720	幾乎	75
1721	特教	75
1722	安心	75
1723	模擬	75
1724	兩百	75
1725	實踐	75
1726	交通部	75
1727	祝福	75
1728	料理	75
1729	採購	75
1730	因素	75
1731	集中	75
1732	分發	75
1733	批	75
1734	隊史	75
1735	衛星	75
1736	遊戲場	75
1737	國防	75
1738	形式	74
1739	掃描	74
1740	套	74
1741	同樣	74
1742	預防	74
1743	列車	74
1744	讀完	74
1745	信箱	74
1746	整合	74
1747	不再	74
1748	亦	74
1749	管教	74
1750	大獎	74
1751	嚴格	74
1752	問卷	74
1753	男性	74
1754	版面	74
1755	火車	73
1756	辦法	73
1757	掌握	73
1758	缺乏	73
1759	精選	73
1760	警察	73
1761	視訊	73
1762	反對	73
1763	自行車	73
1764	健保	73
1765	往	73
1766	宜蘭	73
1767	有機	73
1768	終場	73
1769	魚	73
1770	步道	73
1771	早自習	73
1772	基因	72
1773	課本	72
1774	用品	72
1775	相信	72
1776	新興	72
1777	差異	72
1778	虛擬	72
1779	義賣	72
1780	場域	72
1781	趣味	72
1782	加拿大	72
1783	試場	72
1784	北京	72
1785	好手	72
1786	認知	72
1787	全中運	72
1788	繼	72
1789	提案	72
1790	車站	72
