序位	詞彙	詞頻	常用詞標V
948	教育局長	138	V
949	關鍵	137	V
950	書展	137	V
951	維護	137	V
952	設施	137	V
953	太	137	V
954	選修	137	V
955	多數	137	V
956	教材	137	V
957	達成	136	V
958	印象	136	V
959	擁有	136	V
960	公開	136	V
961	效果	136	V
962	國教署	136	V
963	豐富	136	V
964	友善	135	V
965	說明	135	V
966	見	135	V
967	反	135	V
968	方面	135	V
969	聯合國	135	V
970	雙方	135	V
971	測驗	135	V
972	少子化	134	V
973	其實	134	V
974	高達	134	V
975	寫作	134	V
976	退休	134	V
977	零	134	V
978	臉	134	V
979	繪本	134	V
980	一百	134	V
981	變成	134	V
982	功能	134	V
983	程式	133	V
984	人類	133	V
985	最近	133	V
986	然而	133	V
987	學院	133	V
988	系	133	V
989	帶來	132	V
990	南	132	V
991	民主	132	V
992	疾病	132	V
993	檳榔	132	V
994	足球	132	V
995	人口	132	V
996	終於	132	V
997	免費	132	V
998	非洲	132	V
999	風險	131	V
1000	主動	131	V
1001	自主	131	V
1002	幫	131	V
1003	考	131	V
1004	名單	131	V
1005	均	131	V
1006	頭	131	V
1007	國民	131	V
1008	搭配	131	V
1009	十月	130	V
1010	一九	130	V
1011	技巧	130	V
1012	即日	130	V
1013	中山	130	V
1014	就業	130	V
1015	投手	130	V
1016	限制	130	V
1017	看見	130	V
1018	你	129	V
1019	擔心	129	V
1020	故宮	129	V
1021	縣	129	V
1022	動物園	129	V
1023	同意	129	V
1024	登場	129	V
1025	近日	129	V
1026	感染	129	V
1027	引起	128	V
1028	審議	128	V
1029	防治	128	V
1030	減	128	V
1031	關心	128	V
1032	經常	128	V
1033	任務	128	V
1034	以來	127	V
1035	價值	127	V
1036	小學生	127	V
1037	畫	127	V
1038	遠	127	V
1039	傷害	127	V
1040	陸續	127	V
1041	擴大	127	V
1042	開	127	V
1043	朋友	126	V
1044	國人	126	V
1045	找	126	V
1046	公共化	126	V
1047	公里	126	V
1048	感動	126	V
1049	大眾	126	V
1050	拿	126	V
1051	自我	126	V
1052	陪伴	126	V
1053	第四	126	V
1054	趨勢	126	V
1055	暴力	125	V
1056	而是	125	V
1057	第五	125	V
1058	讀報	125	V
1059	受傷	125	V
1060	紙	125	V
1061	遇到	125	V
1062	新竹市	125	V
1063	選	125	V
1064	引導	125	V
1065	漫畫	125	V
1066	費用	125	V
1067	開發	125	V
1068	代	124	V
1069	男童	124	V
1070	三年級	124	V
1071	依據	124	V
1072	委員	124	V
1073	強化	124	V
1074	考量	124	V
1075	習慣	123	V
1076	城市	123	V
1077	評審	123	V
1078	能夠	123	V
1079	市場	123	V
1080	流感	123	V
1081	阿媽	123	V
1082	遴選	123	V
1083	各界	122	V
1084	原	122	V
1085	攝	122	V
1086	一百零八學年度	122	V
1087	出生	122	V
1088	文教	122	V
1089	缺乏	122	V
1090	教育處	122	V
1091	病毒	122	V
1092	出版	121	V
1093	法律	121	V
1094	大會	121	V
1095	賽事	121	V
1096	但是	121	V
1097	願意	121	V
1098	新增	121	V
1099	高中生	121	V
1100	電影	121	V
1101	字	120	V
1102	公投	120	V
1103	設立	120	V
1104	學測	120	V
1105	抗議	119	V
1106	訊息	119	V
1107	直接	119	V
1108	成效	119	V
1109	托育	119	V
1110	民	119	V
1111	心理	119	V
1112	民間	119	V
1113	十二月	119	V
1114	主辦	119	V
1115	系列	118	V
1116	榮獲	118	V
1117	大型	118	V
1118	族群	118	V
1119	快樂	118	V
1120	具有	118	V
1121	維持	117	V
1122	一日	117	V
1123	特優	117	V
1124	會考	117	V
1125	辦法	117	V
1126	排	117	V
1127	社群	117	V
1128	人士	116	V
1129	自行	116	V
1130	校務	116	V
1131	歷程	116	V
1132	感到	116	V
1133	住	116	V
1134	喜愛	116	V
1135	福利	116	V
1136	面臨	116	V
1137	方向	116	V
1138	點	116	V
1139	石虎	116	V
1140	不得	115	V
1141	準	115	V
1142	成	115	V
1143	於是	115	V
1144	確實	115	V
1145	創下	115	V
1146	文化部	115	V
1147	質疑	115	V
1148	二月	115	V
1149	闖關	115	V
1150	愛心	114	V
1151	東京	114	V
1152	方法	114	V
1153	法國	114	V
