序位	詞彙	詞頻
1627	擁有	8
1628	測	8
1629	改革	8
1630	大眾	8
1631	制	8
1632	擬	8
1633	三十九	8
1634	現場	8
1635	預算	8
1636	代	8
1637	趨緩	8
1638	三十八	8
1639	時候	8
1640	父母	8
1641	綜	8
1642	設立	8
1643	需	8
1644	愛	8
1645	主角	8
1646	初	8
1647	保育	8
1648	巨	8
1649	設	8
1650	消毒	8
1651	自治	8
1652	八年級	8
1653	小學	8
1654	機場	8
1655	承諾	8
1656	競選	8
1657	一直	8
1658	下課	8
1659	臺東縣	8
1660	資格	8
1661	即日	8
1662	成人	7
1663	鐵	7
1664	配合	7
1665	醫護	7
1666	極端	7
1667	列	7
1668	樣本	7
1669	注射	7
1670	借	7
1671	重創	7
1672	柏林	7
1673	店	7
1674	中興	7
1675	行政院長	7
1676	透明	7
1677	保育員	7
1678	綠色	7
1679	內閣	7
1680	訂	7
1681	雖	7
1682	視	7
1683	一六年	7
1684	二十一	7
1685	小鎮	7
1686	免試	7
1687	據信	7
1688	所謂	7
1689	噸	7
1690	元旦	7
1691	校安	7
1692	推荐	7
1693	搜尋	7
1694	探測器	7
1695	當選	7
1696	大專	7
1697	研究員	7
1698	棟	7
1699	詹姆士	7
1700	澳	7
1701	大運	7
1702	靠	7
1703	退出	7
1704	次於	7
1705	宜蘭	7
1706	告知	7
1707	攝影機	7
1708	志工	7
1709	外帶	7
1710	後續	7
1711	天氣	7
1712	景點	7
1713	隧道	7
1714	面積	7
1715	身心	7
1716	李登輝	7
1717	知名	7
1718	推廣	7
1719	新高	7
1720	難	7
1721	檢體	7
1722	朝	7
1723	刷新	7
1724	有趣	7
1725	意外	7
1726	施打	7
1727	不同	7
1728	尤其	7
1729	教	7
1730	經營	7
1731	畫	7
1732	獎金	7
1733	管理局	7
1734	參考	7
1735	蒐集	7
1736	藥	7
1737	直升機	7
1738	具有	7
1739	減緩	7
1740	著名	7
1741	收到	7
1742	特定	7
1743	臺南市	7
1744	運用	7
1745	柬埔寨	7
1746	思考	7
1747	三百	7
1748	莊人祥	7
1749	校院	7
1750	條件	7
1751	運動員	7
1752	發揮	7
1753	真是	7
1754	月亮	7
1755	故宮	7
1756	往	7
1757	甲級	7
1758	外海	7
1759	觀察	7
1760	教育獎	7
1761	地點	7
1762	依	7
1763	閃電	7
1764	乾	7
1765	實驗室	7
1766	作業	7
1767	給予	7
1768	藍	7
1769	程度	7
1770	估計	7
1771	這麼	7
1772	中東	7
1773	入選	7
1774	如何	7
1775	辨識	7
1776	漁具	7
1777	心理	7
1778	二十六	7
1779	左右	7
1780	喪生	7
1781	假	7
1782	看看	7
1783	讚揚	7
1784	升空	7
1785	煙火	7
1786	出土	7
1787	化石	7
1788	表達	7
1789	遇到	7
1790	隊伍	7
1791	競賽	7
1792	勸導	7
1793	名字	7
1794	提前	7
1795	洛杉磯	7
1796	穩定	7
1797	接下來	7
1798	慶祝	7
1799	院會	7
1800	跳繩	7
1801	連鎖	7
1802	讀報	7
1803	八成	7
