序位	詞彙	詞頻	百萬詞頻
1264	大學生	99	113
1265	規範	99	113
1266	當天	99	113
1267	顆	99	113
1268	戰	99	113
1269	醫學	98	112
1270	旅	98	112
1271	預算	98	112
1272	獨立	98	112
1273	光	98	112
1274	館	97	111
1275	確定	97	111
1276	重大	97	111
1277	開設	97	111
1278	任何	97	111
1279	給予	97	111
1280	學術	97	111
1281	節	97	111
1282	選舉	97	111
1283	學區	97	111
1284	良好	97	111
1285	貢獻	97	111
1286	題目	97	111
1287	彰化	96	110
1288	設施	96	110
1289	偏遠	96	110
1290	決賽	96	110
1291	審議	96	110
1292	趨勢	96	110
1293	天氣	95	109
1294	民間	95	109
1295	國民	95	109
1296	為主	95	109
1297	中華隊	95	109
1298	任務	95	109
1299	有關	95	109
1300	技藝	95	109
1301	委員	95	109
1302	感覺	95	109
1303	捷運	95	109
1304	澎湖	95	109
1305	法律	95	109
1306	圖書	94	107
1307	代理	94	107
1308	足球	94	107
1309	正確	94	107
1310	便	94	107
1311	戴	94	107
1312	人民	94	107
1313	觀光	94	107
1314	公投	94	107
1315	原來	94	107
1316	客家	94	107
1317	種子	94	107
1318	直接	94	107
1319	招收	94	107
1320	程式	94	107
1321	形成	94	107
1322	保育	94	107
1323	十二月	94	107
1324	危機	94	107
1325	自行	94	107
1326	真的	94	107
1327	白	93	106
1328	隊員	93	106
1329	治療	93	106
1330	往	93	106
1331	能源	93	106
1332	甄選	93	106
1333	動手	93	106
1334	資格	93	106
1335	可愛	93	106
1336	樂趣	93	106
1337	研究所	93	106
1338	修正	93	106
1339	管制	93	106
1340	減	92	105
1341	難民	92	105
1342	象徵	92	105
1343	感受	92	105
1344	之前	92	105
1345	通報	92	105
1346	讀者	92	105
1347	疫苗	92	105
1348	恐	92	105
1349	市	92	105
1350	合併	92	105
1351	以前	92	105
1352	流行	92	105
1353	勞動	92	105
1354	服裝	91	104
1355	動作	91	104
1356	人文	91	104
1357	搭配	91	104
1358	印尼	91	104
1359	立即	91	104
1360	觀眾	91	104
1361	裝置	91	104
1362	出	91	104
1363	心情	91	104
1364	典範	90	103
1365	大眾	90	103
1366	關注	90	103
1367	導師	90	103
1368	其次	90	103
1369	程序	90	103
1370	科長	90	103
1371	管道	90	103
1372	開幕	90	103
1373	海外	90	103
1374	制服	90	103
1375	舊	90	103
1376	成員	90	103
1377	模擬	90	103
1378	記者	90	103
1379	入	89	102
1380	技職	89	102
1381	女兒	89	102
1382	學科	89	102
1383	展覽	89	102
1384	不佳	89	102
1385	困境	89	102
1386	美麗	89	102
1387	主張	89	102
1388	法	89	102
1389	攝氏	89	102
1390	號	89	102
1391	陪	89	102
1392	總是	89	102
1393	草案	88	101
1394	亞洲	88	101
1395	風險	88	101
1396	黑	88	101
1397	旅遊	88	101
1398	大專	88	101
1399	民主	88	101
1400	審查	88	101
1401	許	88	101
1402	拍照	88	101
1403	大考	88	101
1404	字	88	101
1405	筆	88	101
1406	次長	88	101
1407	紙	87	99
1408	義賣	87	99
1409	考慮	87	99
1410	飲食	87	99
1411	課業	87	99
1412	出生	87	99
1413	查詢	87	99
1414	銀行	87	99
1415	衛生局	87	99
1416	喜愛	87	99
1417	知名	87	99
1418	或是	87	99
1419	二十二	87	99
1420	啟用	87	99
1421	來源	87	99
1422	累積	87	99
1423	考驗	87	99
1424	發明	87	99
1425	跑	87	99
1426	警察	87	99
1427	確保	87	99
1428	極	87	99
1429	樂器	87	99
1430	危險	86	98
1431	打破	86	98
1432	公告	86	98
1433	園區	86	98
1434	西	86	98
1435	出席	86	98
1436	小孩	86	98
1437	傑出	86	98
1438	腸病毒	86	98
1439	經典	86	98
1440	國中生	86	98
1441	慶祝	86	98
1442	速度	86	98
1443	畫作	86	98
1444	災	86	98
1445	人權	86	98
1446	想像	86	98
1447	等級	86	98
